file_name	sample_no	sample_rep	sample_name
20180613.A-1R1_R1	1	R1	Axenic
20180605.A-1R2_R1	1	R2	Axenic
20180613.A-1R3_R1	1	R3	Axenic
20180605.A-1R4_R1	1	R4	Axenic
20180605.A-1R5_R1	1	R5	Axenic
20180613.A-3R1_R1	3	R1	Leaf130
20180605.A-3R2_R1	3	R2	Leaf130
20180605.A-3R3_R1	3	R3	Leaf130
20180613.A-3R4_R1	3	R4	Leaf130
20180605.A-3R5_R1	3	R5	Leaf130
20180613.A-13R1_R1	13	R1	Leaf53
20180613.A-13R2_R1	13	R2	Leaf53
20180613.A-13R3_R1	13	R3	Leaf53
20180613.A-13R4_R1	13	R4	Leaf53
20180613.A-13R5_R1	13	R5	Leaf53
20180605.A-17R1_R1	17	R1	Leaf117
20180605.A-17R2_R1	17	R2	Leaf117
20180605.A-17R3_R1	17	R3	Leaf117
20180605.A-17R4_R1	17	R4	Leaf117
20180613.A-17R5_R1	17	R5	Leaf117
20180605.A-23R1_R1	23	R1	Leaf15
20180605.A-23R2_R1	23	R2	Leaf15
20180605.A-23R3_R1	23	R3	Leaf15
20180605.A-23R4_R1	23	R4	Leaf15
20180605.A-23R5_R1	23	R5	Leaf15
20180605.A-24R1_R1	24	R1	Leaf48
20180605.A-24R2_R1	24	R2	Leaf48
20180605.A-24R3_R1	24	R3	Leaf48
20180605.A-24R4_R1	24	R4	Leaf48
20180605.A-24R5_R1	24	R5	Leaf48
20180613.A-25R1_R1	25	R1	Leaf434
20180605.A-25R2_R1	25	R2	Leaf434
20180605.A-25R3_R1	25	R3	Leaf434
20180605.A-25R4_R1	25	R4	Leaf434
20180605.A-25R5_R1	25	R5	Leaf434
20180605.A-30R1_R1	30	R1	Leaf51
20180605.A-30R2_R1	30	R2	Leaf51
20180605.A-30R3_R1	30	R3	Leaf51
20180605.A-30R4_R1	30	R4	Leaf51
20180605.A-30R5_R1	30	R5	Leaf51
20180613.A-37R1_R1	37	R1	Fr1
20180605.A-37R2_R1	37	R2	Fr1
20180605.A-37R3_R1	37	R3	Fr1
20180613.A-37R4_R1	37	R4	Fr1
20180605.A-37R5_R1	37	R5	Fr1
20180605.A-38R1_R1	38	R1	Leaf70
20180605.A-38R2_R1	38	R2	Leaf70
20180605.A-38R3_R1	38	R3	Leaf70
20180605.A-38R5_R1	38	R5	Leaf70
20180613.A-40R1_R1	40	R1	Leaf131
20180605.A-40R2_R1	40	R2	Leaf131
20180605.A-40R3_R1	40	R3	Leaf131
20180605.A-40R4_R1	40	R4	Leaf131
20180605.A-40R5_R1	40	R5	Leaf131
