	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010|ANAC001	155.215271270304	0.704696347954666	0.215057131075885	3.2767867051384	0.00104995653650325	0.0136221221305799
AT1G01020|ARV1	209.833815194372	0.0803601405566519	0.256368361263955	0.313455764043808	0.753934423590863	0.913492798119201
AT1G01040|DCL1	1213.96063645423	-0.0109552829536982	0.106806172586988	-0.102571627541242	0.91830296198136	0.973945399035766
AT1G01046|MIR838A	6.10695349874283	-0.411423820551048	0.703118192181021	-0.585141765817269	0.558452397569644	0.822064925268127
AT1G01060|LHY	372.080832351426	-0.115084519420841	0.528761519270715	-0.21764919576517	0.827702450538892	0.942042496112991
AT1G01100|AT1G01100	2643.9451308715	0.137964661241079	0.147065365913566	0.938117961248364	0.348183792372849	0.676354604884485
AT1G01110|IQD18	55.3789438679847	0.0231024083428184	0.239633242194843	0.0964073603946574	0.923197046606068	0.975314475936637
AT1G01130|AT1G01130	14.238765514314	-0.54703274691132	0.436207158169376	-1.25406641469857	0.209817866467056	0.53081915350389
AT1G01150|AT1G01150	3.06362612952806	-0.361316717156677	1.96671891718686	-0.183715483691739	0.854236661429242	0.950421949405153
AT1G01190|CYP78A8	11.5567310951092	0.0969674662828416	0.633700086027152	0.153017915605407	0.878384147060448	0.960182803295702
AT1G01030|NGA3	125.984536052963	-0.202656056635504	0.214965567623117	-0.942737289865908	0.345815294704877	0.674582027491432
AT1G01050|AtPPa1	1934.88080414074	-0.0254013151573694	0.106113686163898	-0.239378312785551	0.810812245117462	0.936385536283742
AT1G01070|AT1G01070	77.9458330043404	0.229086420619119	0.208057737246301	1.10107138360312	0.270865590444069	0.602309406444452
AT1G01080|AT1G01080	2625.0464386861	-0.194641167863839	0.111010362465223	-1.7533603489027	0.0795401726074752	0.308388534027588
AT1G01090|PDH-E1 ALPHA	4872.28984168539	-0.154963319728786	0.0786548439571267	-1.97016880248664	0.0488190277327286	0.228696563730035
AT1G01120|KCS1	1760.78306191348	0.0965721351866025	0.11394614273821	0.84752439061036	0.396702897961474	0.713552826443158
AT1G01140|CIPK9	1760.44924992607	0.188122040498855	0.121921431644517	1.54297762059879	0.122836205936311	0.397877250039287
AT1G01160|GIF2	614.078799599494	0.0626457664512257	0.102222375806516	0.61283809886986	0.539983396529362	0.811664119174964
AT1G01170|AT1G01170	2210.97308526263	0.0743377725390539	0.139224869860054	0.533940326996008	0.593382820186244	0.84109976413283
